year,state,quarter,totalRXImputed
2018,ID,2,830
2018,ID,3,868
2018,ID,4,887
2018,IL,1,14173
2018,IL,2,14224
2018,IL,3,14631
2018,IL,4,14655
2018,IN,1,6082
2018,IN,2,6244
2018,IN,3,6153
2018,IN,4,6028
2018,KS,1,1015
2018,KS,2,959
2018,KS,3,988
2018,KS,4,1055
2018,KY,1,11915
2018,KY,2,12065
2018,KY,3,12327
2018,KY,4,12393
2018,LA,1,8478
2018,LA,2,9069
2018,LA,3,9316
2018,LA,4,9301
2018,MA,1,6675
2018,MA,2,7659
2018,MA,3,7090
2018,MA,4,7817
2018,MD,1,5637
2018,MD,2,5688
2018,MD,3,5701
2018,MD,4,5771
2018,ME,1,455
2018,ME,2,454
2018,ME,3,473
2018,ME,4,467
2018,MI,1,13973
2018,MI,2,14286
2018,MI,3,14326
2018,MI,4,14107
2018,MN,1,6199
2018,MN,2,6432
2018,MN,3,6036
2018,MN,4,6039
2018,MO,1,4013
2018,MO,2,4077
2018,MO,3,4013
2018,MO,4,4009
2018,MS,1,2132
2018,MS,2,2139
2018,MS,3,2180
2018,MS,4,2273
2018,MT,1,1455
2018,MT,2,1635
2018,MT,3,1425
2018,MT,4,1696
2018,NC,1,5567
2018,NC,2,4613
2018,NC,3,5395
2018,NC,4,4666
2018,ND,1,562
2018,ND,2,595
2018,ND,3,626
2018,ND,4,515
2018,NE,1,1079
2018,NE,2,1202
2018,NE,3,997
2018,NE,4,1016
2018,NH,1,467
2018,NH,2,524
2018,NH,3,487
2018,NH,4,538
2018,NJ,1,6959
2018,NJ,2,7011
2018,NJ,3,6909
2018,NJ,4,6752
2018,NM,1,2878
2018,NM,2,2362
2018,NM,3,2820
2018,NM,4,2383
2018,NV,1,3938
2018,NV,2,4083
2018,NV,3,3949
2018,NV,4,3905
2018,NY,1,27928
2018,NY,2,28450
2018,NY,3,28059
2018,NY,4,25819
2018,OH,1,19407
2018,OH,2,21191
2018,OH,3,19887
2018,OH,4,19767
2018,OK,1,1269
2018,OK,2,1227
2018,OK,3,1269
2018,OK,4,1320
2018,OR,1,5043
2018,OR,2,5206
2018,OR,3,5082
2018,OR,4,5088
2018,PA,1,12546
2018,PA,2,13090
2018,PA,3,12934
2018,PA,4,12676
2018,RI,1,1545
2018,RI,2,1604
2018,RI,3,1563
2018,RI,4,1582
2018,SC,1,2497
2018,SC,2,2520
2018,SC,3,2470
2018,SC,4,2493
2018,SD,1,342
2018,SD,2,372
2018,SD,3,349
2018,SD,4,360
2018,TN,1,4400
2018,TN,2,4548
2018,TN,3,4608
2018,TN,4,4794
2018,TX,1,8452
2018,TX,2,8964
2018,TX,3,8955
2018,TX,4,8941
2018,UT,1,981
2018,UT,2,951
2018,UT,3,868
2018,UT,4,929
2018,VA,1,4931
2018,VA,2,4483
2018,VA,3,4557
2018,VA,4,4521
2018,VT,1,485
2018,VT,2,512
2018,VT,3,566
2018,VT,4,538
2018,WA,1,6951
2018,WA,2,6970
2018,WA,3,7026
2018,WA,4,6939
2018,WI,1,4904
2018,WI,2,4923
2018,WI,3,4980
2018,WI,4,4782
2018,WV,1,4667
2018,WV,2,4721
2018,WV,3,4600
2018,WV,4,4491
2018,WY,1,243
2018,WY,2,227
2018,WY,3,253
2018,WY,4,249
2019,AK,1,754
2019,AK,2,805
2019,AK,3,807
2019,AK,4,784
2019,AL,1,3028
2019,AL,2,3332
2019,AL,3,2838
2019,AL,4,3002
2019,AR,1,2051
2019,AR,2,1959
2019,AR,3,1911
2019,AR,4,1907
2019,AZ,1,6538
2019,AZ,2,6594
2019,AZ,3,6580
2019,AZ,4,6523
2019,CA,1,50313
2019,CA,2,50692
2019,CA,3,51781
2019,CA,4,49806
2019,CO,1,3190
2019,CO,2,3353
2019,CO,3,3634
2019,CO,4,3259
2019,CT,1,2975
2019,CT,2,3050
