year,state,quarter,suppression,totalRX
2017,ND,1,F,212
2017,ND,1,T,0
2017,ND,2,F,272
2017,ND,2,T,0
2017,ND,3,F,250
2017,ND,3,T,0
2017,ND,4,F,242
2017,ND,4,T,0
2017,NE,1,F,517
2017,NE,1,T,0
2017,NE,2,F,553
2017,NE,2,T,0
2017,NE,3,F,666
2017,NE,3,T,0
2017,NE,4,F,676
2017,NE,4,T,0
2017,NH,1,F,172
2017,NH,1,T,0
2017,NH,2,F,202
2017,NH,2,T,0
2017,NH,3,F,203
2017,NH,3,T,0
2017,NH,4,F,245
2017,NH,4,T,0
2017,NJ,1,F,6484
2017,NJ,1,T,0
2017,NJ,2,F,6751
2017,NJ,2,T,0
2017,NJ,3,F,7207
2017,NJ,3,T,0
2017,NJ,4,F,6999
2017,NJ,4,T,0
2017,NM,1,F,2627
2017,NM,1,T,0
2017,NM,2,F,2612
2017,NM,2,T,0
2017,NM,3,F,2559
2017,NM,3,T,0
2017,NM,4,F,2284
2017,NM,4,T,0
2017,NV,1,F,3945
2017,NV,1,T,0
2017,NV,2,F,3771
2017,NV,2,T,0
2017,NV,3,F,3782
2017,NV,3,T,0
2017,NV,4,F,3655
2017,NV,4,T,0
2017,NY,1,F,25401
2017,NY,1,T,0
2017,NY,2,F,26558
2017,NY,2,T,0
2017,NY,3,F,27964
2017,NY,3,T,0
2017,NY,4,F,27332
2017,NY,4,T,0
2017,OH,1,F,21272
2017,OH,1,T,0
2017,OH,2,F,25516
2017,OH,2,T,0
2017,OH,3,F,19586
2017,OH,3,T,0
2017,OH,4,F,19477
2017,OH,4,T,0
2017,OK,1,F,1190
2017,OK,1,T,0
2017,OK,2,F,1205
2017,OK,2,T,0
2017,OK,3,F,1176
2017,OK,3,T,0
2017,OK,4,F,1145
2017,OK,4,T,0
2017,OR,1,F,5033
2017,OR,1,T,0
2017,OR,2,F,7120
2017,OR,2,T,0
2017,OR,3,F,4930
2017,OR,3,T,0
2017,OR,4,F,4862
2017,OR,4,T,0
2017,PA,1,F,10991
2017,PA,1,T,0
2017,PA,2,F,16508
2017,PA,2,T,0
2017,PA,3,F,12065
2017,PA,3,T,0
