year,gennme,state,quarter,totalRXImputed
2017,Febuxostat,MA,4,230
2017,Allopurinol,MD,1,5144
2017,Febuxostat,MD,1,220
2017,Allopurinol,MD,2,5045
2017,Febuxostat,MD,2,220
2017,Allopurinol,MD,3,4634
2017,Febuxostat,MD,3,214
2017,Allopurinol,MD,4,5056
2017,Febuxostat,MD,4,248
2017,Allopurinol,ME,1,430
2017,Febuxostat,ME,1,16
2017,Allopurinol,ME,2,463
2017,Febuxostat,ME,2,31
2017,Allopurinol,ME,3,431
2017,Febuxostat,ME,3,35
2017,Allopurinol,ME,4,436
2017,Febuxostat,ME,4,45
2017,Allopurinol,MI,1,12813
2017,Febuxostat,MI,1,312
2017,Allopurinol,MI,2,13251
2017,Febuxostat,MI,2,315
2017,Allopurinol,MI,3,13344
2017,Febuxostat,MI,3,349
2017,Allopurinol,MI,4,13358
2017,Febuxostat,MI,4,303
2017,Allopurinol,MN,1,6578
2017,Febuxostat,MN,1,300
2017,Allopurinol,MN,2,7007
2017,Febuxostat,MN,2,321
2017,Allopurinol,MN,3,7036
2017,Febuxostat,MN,3,273
2017,Allopurinol,MN,4,7022
2017,Febuxostat,MN,4,274
2017,Allopurinol,MO,1,3616
2017,Febuxostat,MO,1,197
2017,Allopurinol,MO,2,3502
2017,Febuxostat,MO,2,210
2017,Allopurinol,MO,3,3682
2017,Febuxostat,MO,3,240
2017,Allopurinol,MO,4,3651
2017,Allopurinol Sodium,MO,4,0
2017,Febuxostat,MO,4,232
2017,Allopurinol,MS,1,1613
2017,Febuxostat,MS,1,73
2017,Allopurinol,MS,2,1736
2017,Febuxostat,MS,2,79
2017,Allopurinol,MS,3,1659
2017,Febuxostat,MS,3,73
2017,Allopurinol,MS,4,1615
2017,Febuxostat,MS,4,69
2017,Allopurinol,MT,1,991
2017,Febuxostat,MT,1,61
2017,Allopurinol,MT,2,1153
2017,Febuxostat,MT,2,68
2017,Allopurinol,MT,3,1149
2017,Febuxostat,MT,3,70
2017,Allopurinol,MT,4,1229
2017,Febuxostat,MT,4,88
2017,Allopurinol,NC,1,4964
2017,Febuxostat,NC,1,772
2017,Allopurinol,NC,2,4264
2017,Febuxostat,NC,2,646
2017,Allopurinol,NC,3,4929
2017,Febuxostat,NC,3,767
2017,Allopurinol,NC,4,4106
2017,Febuxostat,NC,4,643
2017,Allopurinol,ND,1,212
2017,Febuxostat,ND,1,0
2017,Allopurinol,ND,2,272
2017,Febuxostat,ND,2,0
2017,Allopurinol,ND,3,250
2017,Febuxostat,ND,3,0
2017,Allopurinol,ND,4,242
2017,Febuxostat,ND,4,0
2017,Allopurinol,NE,1,496
2017,Febuxostat,NE,1,21
2017,Allopurinol,NE,2,534
2017,Febuxostat,NE,2,19
2017,Allopurinol,NE,3,635
2017,Febuxostat,NE,3,31
2017,Allopurinol,NE,4,644
2017,Febuxostat,NE,4,32
2017,Allopurinol,NH,1,172
2017,Febuxostat,NH,1,0
2017,Allopurinol,NH,2,202
2017,Febuxostat,NH,2,0
2017,Allopurinol,NH,3,203
2017,Febuxostat,NH,3,0
2017,Allopurinol,NH,4,245
2017,Febuxostat,NH,4,0
2017,Allopurinol,NJ,1,6113
2017,Febuxostat,NJ,1,371
2017,Allopurinol,NJ,2,6324
2017,Febuxostat,NJ,2,427
2017,Allopurinol,NJ,3,6791
2017,Febuxostat,NJ,3,416
2017,Allopurinol,NJ,4,6606
2017,Febuxostat,NJ,4,393
2017,Allopurinol,NM,1,2536
2017,Febuxostat,NM,1,91
2017,Allopurinol,NM,2,2526
2017,Febuxostat,NM,2,86
2017,Allopurinol,NM,3,2463
2017,Febuxostat,NM,3,96
2017,Allopurinol,NM,4,2208
2017,Febuxostat,NM,4,76
2017,Allopurinol,NV,1,3744
2017,Febuxostat,NV,1,201
2017,Allopurinol,NV,2,3571
2017,Febuxostat,NV,2,200
2017,Allopurinol,NV,3,3585
2017,Febuxostat,NV,3,197
2017,Allopurinol,NV,4,3466
2017,Febuxostat,NV,4,189
